,Date,Open,High,Low,Close,Adj Close,Volume,year,month
4437,2015-01-02,312.579987,314.75,306.959991,308.519989,308.519989,2783200,2015,1
4438,2015-01-05,307.01001,308.380005,300.850006,302.190002,302.190002,2774200,2015,1
4439,2015-01-06,302.23999,303.0,292.380005,295.290009,295.290009,3519000,2015,1
4440,2015-01-07,297.5,301.27999900000003,295.329987,298.420013,298.420013,2640300,2015,1
4441,2015-01-08,300.320007,303.140015,296.109985,300.459991,300.459991,3088400,2015,1
4442,2015-01-09,301.480011,302.869995,296.679993,296.929993,296.929993,2592400,2015,1
4443,2015-01-12,297.559998,298.51001,289.27999900000003,291.410004,291.410004,3421400,2015,1
4444,2015-01-13,297.480011,301.5,293.230011,294.73999,294.73999,4136400,2015,1
4445,2015-01-14,291.929993,295.910004,286.5,293.269989,293.269989,5538700,2015,1
4446,2015-01-15,294.0,296.0,286.820007,286.950012,286.950012,4419200,2015,1
4447,2015-01-16,286.27999900000003,290.790009,285.25,290.73999,290.73999,3478200,2015,1
4448,2015-01-20,292.589996,293.359985,286.390015,289.440002,289.440002,3075100,2015,1
4449,2015-01-21,289.640015,306.0,287.26001,297.25,297.25,10065100,2015,1
4450,2015-01-22,300.0,312.25,300.0,310.320007,310.320007,5362600,2015,1
4451,2015-01-23,308.079987,316.929993,307.72000099999997,312.390015,312.390015,4496400,2015,1
4452,2015-01-26,311.820007,313.0,307.519989,309.660004,309.660004,3169700,2015,1
4453,2015-01-27,306.299988,310.23999,302.630005,306.75,306.75,2920300,2015,1
4454,2015-01-28,309.809998,311.51001,303.799988,303.910004,303.910004,3063800,2015,1
4455,2015-01-29,304.730011,312.799988,299.329987,311.77999900000003,311.77999900000003,8656600,2015,1
4456,2015-01-30,346.320007,359.5,340.73999,354.52999900000003,354.52999900000003,23856100,2015,1
4457,2015-02-02,350.049988,365.0,350.01001,364.47000099999997,364.47000099999997,10231900,2015,2
4458,2015-02-03,360.290009,367.820007,360.209991,363.549988,363.549988,6212600,2015,2
4459,2015-02-04,358.380005,367.5,358.230011,364.75,364.75,4169900,2015,2
4460,2015-02-05,366.0,378.799988,365.899994,373.890015,373.890015,7247600,2015,2
4461,2015-02-06,374.869995,375.98999,371.01001,374.27999900000003,374.27999900000003,3892400,2015,2
4462,2015-02-09,371.0,374.410004,367.200012,370.559998,370.559998,2724600,2015,2
4463,2015-02-10,371.190002,374.299988,368.51001,373.0,373.0,2287200,2015,2
4464,2015-02-11,371.230011,377.100006,371.100006,375.140015,375.140015,2786500,2015,2
4465,2015-02-12,375.100006,378.51001,373.149994,377.170013,377.170013,2791100,2015,2
4466,2015-02-13,378.410004,383.0,377.01001,381.829987,381.829987,3475100,2015,2
4467,2015-02-17,377.72000099999997,379.98999,372.670013,375.429993,375.429993,3673200,2015,2
4468,2015-02-18,373.77999900000003,376.73999,372.850006,373.369995,373.369995,2650600,2015,2
4469,2015-02-19,373.48999,381.880005,373.429993,379.0,379.0,2953800,2015,2
4470,2015-02-20,378.619995,383.700012,375.839996,383.660004,383.660004,3258000,2015,2
4471,2015-02-23,383.440002,384.540009,378.0,380.140015,380.140015,2177000,2015,2
4472,2015-02-24,378.649994,380.480011,376.160004,378.589996,378.589996,1920800,2015,2
4473,2015-02-25,377.269989,387.850006,376.540009,385.369995,385.369995,3174500,2015,2
4474,2015-02-26,384.070007,389.369995,383.27999900000003,384.799988,384.799988,2687100,2015,2
4475,2015-02-27,384.0,385.98999,379.790009,380.160004,380.160004,2532300,2015,2
4476,2015-03-02,380.850006,385.899994,379.480011,385.660004,385.660004,2139200,2015,3
4477,2015-03-03,383.950012,386.100006,381.600006,384.609985,384.609985,1946500,2015,3
4478,2015-03-04,385.709991,387.899994,382.190002,382.72000099999997,382.72000099999997,2259100,2015,3
4479,2015-03-05,385.609985,388.420013,383.890015,387.829987,387.829987,2693500,2015,3
4480,2015-03-06,385.519989,387.0,378.880005,380.089996,380.089996,2627000,2015,3
4481,2015-03-09,378.399994,379.329987,375.27999900000003,378.559998,378.559998,2311400,2015,3
4482,2015-03-10,377.450012,377.769989,369.179993,369.51001,369.51001,3121000,2015,3
4483,2015-03-11,370.609985,373.350006,366.26001,366.369995,366.369995,2495100,2015,3
4484,2015-03-12,368.820007,375.5,367.519989,374.23999,374.23999,2810000,2015,3
4485,2015-03-13,371.519989,373.98999,366.679993,370.579987,370.579987,2611700,2015,3
4486,2015-03-16,370.380005,373.940002,366.72000099999997,373.350006,373.350006,2354100,2015,3
4487,2015-03-17,371.109985,374.5,369.640015,371.920013,371.920013,2037000,2015,3
4488,2015-03-18,369.97000099999997,375.98999,366.700012,375.140015,375.140015,2654100,2015,3
4489,2015-03-19,373.869995,377.109985,372.190002,373.23999,373.23999,1915700,2015,3
4490,2015-03-20,376.290009,379.369995,375.920013,378.48999,378.48999,3763600,2015,3
4491,2015-03-23,378.070007,381.769989,374.940002,375.109985,375.109985,2239300,2015,3
4492,2015-03-24,373.98999,375.23999,372.269989,374.089996,374.089996,2228200,2015,3
4493,2015-03-25,375.170013,380.5,370.290009,370.959991,370.959991,3429500,2015,3
4494,2015-03-26,369.589996,371.399994,365.649994,367.350006,367.350006,2930000,2015,3
4495,2015-03-27,367.109985,373.170013,366.570007,370.559998,370.559998,2609800,2015,3
4496,2015-03-30,371.869995,376.119995,371.549988,374.589996,374.589996,1820900,2015,3
4497,2015-03-31,373.23999,377.700012,371.51001,372.100006,372.100006,2506100,2015,3
4498,2015-04-01,372.100006,373.160004,368.339996,370.26001,370.26001,2458100,2015,4
4499,2015-04-02,370.5,373.27999900000003,369.0,372.25,372.25,1875300,2015,4
4500,2015-04-06,370.100006,380.200012,369.359985,377.040009,377.040009,3050700,2015,4
4501,2015-04-07,376.149994,379.309998,374.02999900000003,374.410004,374.410004,1954900,2015,4
4502,2015-04-08,374.660004,381.579987,374.649994,381.200012,381.200012,2636400,2015,4
4503,2015-04-09,380.660004,384.420013,378.799988,383.540009,383.540009,2392300,2015,4
4504,2015-04-10,384.309998,387.119995,381.320007,382.649994,382.649994,2573500,2015,4
4505,2015-04-13,383.52999900000003,385.27999900000003,380.140015,382.359985,382.359985,1894500,2015,4
4506,2015-04-14,383.51001,387.809998,381.209991,385.109985,385.109985,2583600,2015,4
4507,2015-04-15,384.649994,385.77999900000003,381.640015,383.450012,383.450012,1933200,2015,4
